Item,ORIGEN PROVEEDOR,PROVEEDOR CCIAL,Estado,COMPRAS
4280,0002 - IMPORTADO,0016 - BAHCO,Inactivo,0002 - NO
2285,0001 - NACIONAL,0223 - STANLEY BLACK & DECKER,Bloqueado,0002 - NO
2291,0001 - NACIONAL,0223 - STANLEY BLACK & DECKER,Inactivo,0002 - NO
2306,0001 - NACIONAL,0223 - STANLEY BLACK & DECKER,Bloqueado,0002 - NO
2370,0001 - NACIONAL,0069 - GRICOL,Inactivo,0002 - NO
42251,0002 - IMPORTADO,0016 - BAHCO,Bloqueado,0002 - NO
425769,0001 - NACIONAL,0067 - GOLD,Inactivo,0002 - NO
426049,0001 - NACIONAL,0067 - GOLD,Inactivo,0002 - NO
430025,0001 - NACIONAL,0067 - GOLD,Inactivo,0002 - NO
431007,0001 - NACIONAL,0067 - GOLD,Inactivo,0002 - NO
431189,0001 - NACIONAL,0067 - GOLD,Inactivo,0002 - NO
431585,0001 - NACIONAL,0067 - GOLD,Inactivo,0002 - NO
918193,0001 - NACIONAL,0048 - ENVASES,Inactivo,0002 - NO
918458,0001 - NACIONAL,0048 - ENVASES,Bloqueado,0002 - NO
930735,0002 - IMPORTADO,0223 - STANLEY BLACK & DECKER,Inactivo,0002 - NO
2,0001 - NACIONAL,0075 - HERRAGRO,Bloqueado,0002 - NO
200886, ,0223 - STANLEY BLACK & DECKER,Activo,0002 - NO
204074, ,9999 - OTROS,Activo,0002 - NO
143131, ,9999 - OTROS,Activo,0002 - NO
143164, ,9999 - OTROS,Activo,0002 - NO
15363,0001 - NACIONAL,0178 - PINT,Bloqueado,0002 - NO
177,0001 - NACIONAL,0165 - VERA,Inactivo,0002 - NO
45870,0001 - NACIONAL,2629 - ESCALERAS GMV,Activo,0002 - NO
45967,0001 - NACIONAL,0174 - LICAVIR,Bloqueado,0002 - NO
569400,0001 - NACIONAL,0069 - GRICOL,Bloqueado,0002 - NO
569715,0001 - NACIONAL,0069 - GRICOL,Inactivo,0002 - NO
570721,0001 - NACIONAL,0011 - ARCOLI,Bloqueado,0002 - NO
